# xc7z030sbg485-1; native synth_xilinx -abc9; ps excluding launch FF clock-to-Q
# op width cases cell_ps routed_ps; held-out widths excluded
array_update_s32 1 32 289 2381
array_update_s32 8 32 230 3768
array_update_s32 128 32 236 4463
array_update_s32 256 32 355 4761
array_update_s32 512 32 355 4850
array_update_s64 1 2 312 2236
array_update_s64 8 2 314 2288
array_update_s64 128 2 314 2946
array_update_s64 256 2 314 3000
array_update_s64 1024 2 314 3415
array_update_s64 1 4 212 2146
array_update_s64 8 4 265 2609
array_update_s64 128 4 53 3317
array_update_s64 256 4 212 3314
array_update_s64 1024 4 53 4486
array_update_s64 1 8 212 2274
array_update_s64 8 8 312 2392
array_update_s64 128 8 206 3582
array_update_s64 256 8 53 4238
array_update_s64 1024 8 212 4322
array_update_s64 1 16 212 2688
array_update_s64 8 16 316 2754
array_update_s64 128 16 206 3535
array_update_s64 256 16 53 4258
array_update_s64 1024 16 53 4575
array_update_s64 1 32 212 2564
array_update_s64 8 32 212 2655
array_update_s64 128 32 212 3974
array_update_s64 256 32 106 4106
array_update_s64 512 32 265 4860
array_update_s8 1 2 106 1220
array_update_s8 8 2 211 1438
array_update_s8 128 2 53 3013
array_update_s8 256 2 53 3545
array_update_s8 1024 2 53 3594
array_update_s8 1 4 106 1307
array_update_s8 8 4 106 1714
array_update_s8 128 4 53 3590
array_update_s8 256 4 53 3786
array_update_s8 1024 4 153 3591
array_update_s8 1 8 106 1199
array_update_s8 8 8 53 1632
array_update_s8 128 8 53 3946
array_update_s8 256 8 53 4160
array_update_s8 1024 8 106 3675
array_update_s8 1 16 106 1487
array_update_s8 8 16 53 2155
array_update_s8 128 16 153 3488
array_update_s8 256 16 153 3579
array_update_s8 1024 16 53 4501
array_update_s8 1 32 106 1581
array_update_s8 8 32 236 2264
array_update_s8 128 32 227 3002
array_update_s8 256 32 106 3411
array_update_s8 1024 32 106 4736
eq 4 2 106 1012
eq 8 2 159 1611
eq 16 2 159 1507
eq 32 2 342 1938
eq 64 2 212 2377
eq 128 2 312 2477
eq 256 2 365 2659
eq 1024 2 473 4084
gate 1 2 53 497
gate 8 2 153 662
gate 64 2 53 878
gate 256 2 158 1383
gate 1024 2 53 1490
nand 1 2 53 497
nand 8 2 153 601
nand 64 2 157 616
nand 1024 2 53 656
nand 1 4 53 656
nand 8 4 53 656
nand 64 4 53 660
nand 1024 4 53 696
nand 1 8 106 881
nand 8 8 208 1240
nand 64 8 106 1236
nand 1024 8 106 1399
nand 1 16 159 1611
nand 8 16 159 1808
nand 64 16 159 1746
nand 1024 16 159 1597
nand 1 32 159 1518
nand 8 32 159 1587
nand 64 32 261 1884
nand 1024 32 261 1898
ne 1 2 53 497
ne 8 2 159 1611
ne 32 2 342 1938
ne 64 2 212 2377
ne 128 2 312 2477
ne 256 2 365 2659
ne 1024 2 420 3980
neg 4 2 404 909
neg 8 2 579 1353
neg 16 2 695 1469
neg 32 2 822 1280
neg 64 2 1391 2165
nor 1 2 53 497
nor 8 2 53 654
nor 64 2 153 616
nor 1024 2 157 616
nor 1 4 53 656
nor 8 4 53 661
nor 64 4 53 660
nor 1024 4 53 696
nor 1 8 106 1046
nor 8 8 106 1143
nor 64 8 106 1234
nor 1024 8 106 1376
nor 1 16 159 1335
nor 8 16 159 1662
nor 64 16 264 1911
nor 1024 16 159 1634
nor 1 32 159 1469
nor 8 32 259 1755
nor 64 32 259 1957
